"nombre_materia","numero_horas","unidades","docente_encargado","ciclo"
"Calculo de una variable","120","3","m.r@unl.edu.ec","Primer ciclo"
"Dibujo técnico","120","3","m.r@unl.edu.ec","Primer ciclo"
"Algebra lineal","120","3","m.r@unl.edu.ec","Primer ciclo"
"Física","120","3","m.r@unl.edu.ec","Primer ciclo"
"Deontología","120","3","m.r@unl.edu.ec","Primer ciclo"
"Calculo de varias variables","120","3","m.r@unl.edu.ec","Segundo ciclo"
"Diseño asistido por computador","120","3","m.r@unl.edu.ec","Segundo ciclo"
"Lenguaje programación","120","3","m.r@unl.edu.ec","Segundo ciclo"
"Estática","120","3","m.r@unl.edu.ec","Segundo ciclo"
"Taller mecánico","120","3","m.r@unl.edu.ec","Segundo ciclo"
"Metodología de la investigación","120","3","m.r@unl.edu.ec","Segundo ciclo"
